Course,PaperSn,QuesSn,TargetNo,Score
材料力学,13-A,1-1,1,3
材料力学,13-A,1-2,1,4
材料力学,13-A,1-3,1,2
材料力学,13-A,1-4,1,1
材料力学,13-A,1-5,1,2
材料力学,13-A,1-6,1,1
材料力学,13-A,1-7,1,2
材料力学,13-A,1-8,1,2
材料力学,13-A,1-9,1,2
材料力学,13-A,1-10,1,1
材料力学,13-A,2-1,2,4
材料力学,13-A,2-2,2,4
材料力学,13-A,2-3,4,4
材料力学,13-A,2-4,5,4
材料力学,13-A,2-5,5,4
材料力学,13-A,3-1,3,12
材料力学,13-A,3-2,3,12
材料力学,13-A,3-3,3,12
材料力学,13-A,3-4,3,12
材料力学,13-A,3-5,3,12
材料力学,13-B,1-1,1,2
材料力学,13-B,1-2,1,2
材料力学,13-B,1-3,1,4
材料力学,13-B,1-4,1,3
材料力学,13-B,1-5,1,2
材料力学,13-B,1-6,1,1
材料力学,13-B,1-7,1,2
材料力学,13-B,1-8,1,2
材料力学,13-B,1-9,1,1
材料力学,13-B,1-10,1,1
材料力学,13-B,2-1,2,4
材料力学,13-B,2-2,2,4
材料力学,13-B,2-3,5,4
材料力学,13-B,2-4,4,4
材料力学,13-B,2-5,5,4
材料力学,13-B,3-1,3,12
材料力学,13-B,3-2,3,12
材料力学,13-B,3-3,3,12
材料力学,13-B,3-4,3,12
材料力学,13-B,3-5,3,12
材料力学,14-A,1-1,1,2
材料力学,14-A,1-2,1,2
材料力学,14-A,1-3,1,2
材料力学,14-A,1-4,1,2
材料力学,14-A,1-5,1,2
材料力学,14-A,1-6,1,2
材料力学,14-A,1-7,1,2
材料力学,14-A,1-8,1,2
材料力学,14-A,1-9,1,2
材料力学,14-A,1-10,1,2
材料力学,14-A,2-1,2,4
材料力学,14-A,2-2,4,4
材料力学,14-A,2-3,3,4
材料力学,14-A,2-4,2,4
材料力学,14-A,2-5,3,4
材料力学,14-A,3-1,3,12
材料力学,14-A,3-2,5,12
材料力学,14-A,3-3,3,12
材料力学,14-A,3-4,3,12
材料力学,14-A,3-5,5,12
材料力学,14-B,1-1,1,2
材料力学,14-B,1-2,1,2
材料力学,14-B,1-3,1,2
材料力学,14-B,1-4,1,2
材料力学,14-B,1-5,1,2
